5,9,11,27,29,32
10,11,13,22,32,36
13,17,25,32,43,47
3,15,23,28,30,40
3,18,30,37,38,44
8,10,12,19,39,48
4,7,19,31,34,40
3,5,8,10,14,44
5,8,9,10,27,34
5,17,25,29,36,45
2,4,9,18,21,38
8,10,16,27,42,45
2,8,18,19,29,42
10,12,18,26,36,42
1,4,21,25,40,46
16,17,40,41,43,44
6,12,25,37,40,44
4,7,9,13,23,31
2,12,19,29,30,40
14,18,24,28,36,44
8,14,20,30,37,48
8,14,25,26,28,31
5,24,26,28,38,46
3,14,17,22,31,36
14,17,20,21,31,45
2,7,14,22,25,35
4,12,22,25,30,37
25,27,29,32,35,43
2,6,14,37,38,39
15,21,26,29,32,43
5,18,30,36,45,48
3,10,13,34,36,45
3,4,12,18,30,47
5,19,24,27,28,41
16,35,40,41,44,48
3,4,7,14,36,38
1,4,20,30,34,37
3,11,17,24,29,49
1,2,14,22,25,36
21,24,25,42,44,45
21,32,33,42,44,49
12,15,25,26,39,42
15,20,24,26,34,36
12,13,16,17,19,23
7,9,12,24,26,48
16,21,23,36,45,49
6,15,20,29,37,49
13,19,25,35,44,47
19,23,24,37,43,44
1,21,29,36,39,49
2,3,9,11,25,44
2,3,9,29,38,46
20,22,26,33,39,40
6,8,29,40,41,48
5,7,11,17,22,23
1,16,41,42,46,48
5,11,12,37,40,41
3,13,17,23,27,45
4,8,12,26,31,44
4,5,21,27,32,46
5,13,14,37,43,45
5,11,18,22,23,47
6,13,43,45,46,49
4,8,12,13,29,45
4,22,27,31,34,47
1,3,10,19,21,39
13,15,19,32,34,43
3,15,22,40,41,44
3,22,31,32,34,40
6,21,32,34,41,46
